epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6011,1.81346,3.6676,1.90804,0.75329,0.04294,0.1071,0.04452,1.79936,3.8322,1.88785,0.000298792,0.000298792,0.000298792
2,47.5033,1.58798,2.44134,1.65173,0.5562,0.2741,0.32522,0.20573,1.86387,3.40409,1.9784,0.000581933,0.000581933,0.000581933
3,69.8008,1.57612,2.25005,1.63829,0.4774,0.22487,0.20565,0.12467,2.10286,3.57137,2.23423,0.000845075,0.000845075,0.000845075
4,91.9506,1.55589,2.05729,1.61793,0.41728,0.25422,0.2599,0.16007,1.99598,2.8861,2.10302,0.000819009,0.000819009,0.000819009
5,112.81,1.51618,1.88381,1.57549,0.6036,0.32533,0.28252,0.14796,2.04524,2.43278,2.13672,0.000789012,0.000789012,0.000789012
6,134.909,1.49358,1.75873,1.55356,0.32526,0.36447,0.31724,0.19225,1.93407,2.47137,2.07791,0.000759015,0.000759015,0.000759015
7,156.969,1.44748,1.62242,1.51594,0.71261,0.30368,0.31537,0.18409,1.93236,2.24423,2.13125,0.000729018,0.000729018,0.000729018
8,177.716,1.41828,1.54267,1.49733,0.65735,0.308,0.32552,0.18273,1.97829,2.01849,2.16206,0.000699021,0.000699021,0.000699021
9,199.831,1.42868,1.5085,1.50751,0.57829,0.35754,0.35136,0.20729,2.01587,2.18597,2.06682,0.000669024,0.000669024,0.000669024
10,222.019,1.41051,1.45274,1.48522,0.64766,0.26805,0.31271,0.18665,1.98387,2.19686,2.09655,0.000639027,0.000639027,0.000639027
11,242.938,1.36517,1.39228,1.45381,0.33189,0.34573,0.30671,0.17072,2.03511,2.2905,2.17535,0.00060903,0.00060903,0.00060903
12,265.325,1.38093,1.37341,1.45956,0.30278,0.36857,0.32392,0.17938,1.97806,1.81037,2.08043,0.000579033,0.000579033,0.000579033
13,287.323,1.31939,1.29085,1.41404,0.51002,0.34534,0.37682,0.20091,1.89846,1.76707,2.00672,0.000549036,0.000549036,0.000549036
14,308.805,1.32078,1.2418,1.4219,0.32262,0.40561,0.32907,0.18808,1.87986,1.90956,1.93218,0.000519039,0.000519039,0.000519039
15,330.599,1.30685,1.19022,1.40064,0.50123,0.40077,0.34893,0.19675,2.07469,1.94615,2.16118,0.000489042,0.000489042,0.000489042
16,352.374,1.28742,1.1811,1.39021,0.76599,0.39208,0.39223,0.22998,1.90202,1.55619,1.95766,0.000459045,0.000459045,0.000459045
17,373.541,1.25873,1.14289,1.3616,0.50928,0.31447,0.3698,0.20857,2.00148,1.93235,1.99159,0.000429048,0.000429048,0.000429048
18,395.789,1.24784,1.08547,1.34245,0.71095,0.30973,0.34194,0.20225,1.9873,1.83098,2.10702,0.000399051,0.000399051,0.000399051
19,417.834,1.22578,1.0489,1.3344,0.67837,0.34497,0.34256,0.19932,2.08275,1.62222,2.14042,0.000369054,0.000369054,0.000369054
20,438.814,1.22866,1.05694,1.33878,0.75732,0.41257,0.39886,0.23268,2.01501,1.55357,2.03563,0.000339057,0.000339057,0.000339057
21,462.81,1.15351,0.92359,1.31591,0.63466,0.42187,0.41463,0.24146,1.87499,1.5292,1.9454,0.00030906,0.00030906,0.00030906
22,483.93,1.14663,0.86241,1.30871,0.75245,0.4189,0.44062,0.24505,2.02583,1.58712,2.09214,0.000279063,0.000279063,0.000279063
23,503.8,1.09304,0.80536,1.26785,0.55852,0.408,0.40779,0.23362,2.01437,1.62797,2.06614,0.000249066,0.000249066,0.000249066
24,524.54,1.09393,0.78859,1.27586,0.57317,0.38509,0.39205,0.21438,2.04119,1.64918,2.07933,0.000219069,0.000219069,0.000219069
25,544.108,1.07023,0.75162,1.25744,0.70049,0.42966,0.42077,0.23936,2.01684,1.50712,2.05208,0.000189072,0.000189072,0.000189072
26,564.955,1.04159,0.72858,1.23386,0.58793,0.4155,0.40815,0.23336,2.08586,1.60813,2.13285,0.000159075,0.000159075,0.000159075
27,584.922,1.02788,0.71113,1.23434,0.79594,0.41322,0.43048,0.24904,1.99418,1.52981,2.06502,0.000129078,0.000129078,0.000129078
28,605.296,1.01711,0.69394,1.23285,0.58762,0.42003,0.42018,0.24824,2.04123,1.56125,2.09411,9.9081e-05,9.9081e-05,9.9081e-05
29,626.301,1.01002,0.68378,1.21633,0.60248,0.42417,0.44391,0.26429,2.01382,1.46937,2.08261,6.9084e-05,6.9084e-05,6.9084e-05
30,646.427,0.96903,0.66997,1.19398,0.59887,0.43438,0.43892,0.25642,2.0042,1.4744,2.07784,3.9087e-05,3.9087e-05,3.9087e-05
